city,competition,date,match-id,gender,match-number,match-referee,method,neutralvenue,outcome,player-of-match,reserve-umpire,season,series,team-0,team-1,toss-decision,toss-winner,tv-umpire,umpire-0,umpire-1,venue,winner,winner-runs,winner-wickets,year
Jamaica,,2011/06/16,489225,male,5.0,JJ Crowe,,,,AD Russell,GO Brathwaite,2011,India in West Indies ODI Series,West Indies,India,field,West Indies,NA Malcolm,IJ Gould,JS Wilson,Sabina Park,West Indies,,7.0,2011
Mirpur,,2011/04/09,503363,male,1.0,RS Mahanama,,,,MJ Clarke,Gazi Sohel,2011,Australia in Bangladesh ODI Series,Bangladesh,Australia,field,Bangladesh,Enamul Haque,JD Cloete,Nadir Shah,Shere Bangla National Stadium,Australia,60.0,,2011
Mirpur,,2011/04/11,503364,male,2.0,RS Mahanama,,,,SR Watson,Tanvir Ahmed,2011,Australia in Bangladesh ODI Series,Bangladesh,Australia,bat,Bangladesh,Nadir Shah,JD Cloete,Sharfuddoula,Shere Bangla National Stadium,Australia,,9.0,2011
Mirpur,,2011/04/13,503365,male,3.0,RS Mahanama,,,,MEK Hussey,Masudur Rahman,2011,Australia in Bangladesh ODI Series,Bangladesh,Australia,bat,Australia,Sharfuddoula,JD Cloete,Enamul Haque,Shere Bangla National Stadium,Australia,66.0,,2011
Aberdeen,ICC World Cricket League Championship,2011/06/29,504779,male,2.0,DT Jukes,D/L,,,,RM Wylie,2011,,Scotland,Netherlands,field,Scotland,,NG Bagh,PJ Nero,Mannofield Park,Scotland,,5.0,2011
Centurion,,2011/10/19,514025,male,1.0,J Srinath,D/L,,,RT Ponting,S George,2011/12,Australia in South Africa ODI Series,South Africa,Australia,field,South Africa,RA Kettleborough,JD Cloete,IJ Gould,SuperSport Park,Australia,93.0,,2011
Port Elizabeth,,2011/10/23,514026,male,2.0,J Srinath,,,,M Morkel,JD Cloete,2011/12,Australia in South Africa ODI Series,South Africa,Australia,bat,South Africa,IJ Gould,S George,RA Kettleborough,St George's Park,South Africa,80.0,,2011
Durban,,2011/10/28,514027,male,3.0,J Srinath,,,,SR Watson,S George,2011/12,Australia in South Africa ODI Series,South Africa,Australia,bat,South Africa,RA Kettleborough,JD Cloete,IJ Gould,Kingsmead,Australia,,3.0,2011
Paarl,,2012/01/11,514035,male,1.0,JJ Crowe,,,,M Morkel,JD Cloete,2011/12,Sri Lanka in South Africa ODI Series,South Africa,Sri Lanka,bat,South Africa,RA Kettleborough,BR Doctrove,M Erasmus,Boland Park,South Africa,258.0,,2012
East London,,2012/01/14,514036,male,2.0,JJ Crowe,,,,JP Duminy,M Erasmus,2011/12,Sri Lanka in South Africa ODI Series,South Africa,Sri Lanka,field,South Africa,NJ Llong,BR Doctrove,S George,Buffalo Park,South Africa,,5.0,2012
Bloemfontein,,2012/01/17,514037,male,3.0,JJ Crowe,D/L,,,F du Plessis,S George,2011/12,Sri Lanka in South Africa ODI Series,South Africa,Sri Lanka,bat,Sri Lanka,BR Doctrove,JD Cloete,NJ Llong,Chevrolet Park,South Africa,4.0,,2012
Kimberley,,2012/01/20,514038,male,4.0,JJ Crowe,,,,NLTC Perera,S George,2011/12,Sri Lanka in South Africa ODI Series,South Africa,Sri Lanka,bat,South Africa,NJ Llong,JD Cloete,BR Doctrove,De Beers Diamond Oval,Sri Lanka,,5.0,2012
Johannesburg,,2012/01/22,514039,male,5.0,JJ Crowe,,,,KC Sangakkara,JD Cloete,2011/12,Sri Lanka in South Africa ODI Series,South Africa,Sri Lanka,field,Sri Lanka,BR Doctrove,M Erasmus,NJ Llong,New Wanderers Stadium,Sri Lanka,,2.0,2012
,,2011/08/10,516206,male,1.0,J Srinath,,,,MG Johnson,REJ Martinesz,2011,Australia in Sri Lanka ODI Series,Sri Lanka,Australia,bat,Sri Lanka,Asad Rauf,EAR de Silva,AL Hill,Pallekele International Cricket Stadium,Australia,,7.0,2011
Hambantota,,2011/08/14,516207,male,2.0,J Srinath,,,,RT Ponting,EAR de Silva,2011,Australia in Sri Lanka ODI Series,Sri Lanka,Australia,bat,Sri Lanka,Asad Rauf,AL Hill,RSA Palliyaguruge,Mahinda Rajapaksa International Cricket Stadium,Australia,,8.0,2011
Hambantota,,2011/08/16,516208,male,3.0,J Srinath,,,,WU Tharanga,RSA Palliyaguruge,2011,Australia in Sri Lanka ODI Series,Sri Lanka,Australia,field,Australia,AL Hill,Asad Rauf,REJ Martinesz,Mahinda Rajapaksa International Cricket Stadium,Sri Lanka,78.0,,2011
