city,competition,date,match-id,gender,match-number,match-referee,method,neutralvenue,outcome,player-of-match,reserve-umpire,season,series,team-0,team-1,toss-decision,toss-winner,tv-umpire,umpire-0,umpire-1,venue,winner,winner-runs,winner-wickets,year
Cox's Bazar,,2017/01/20,1041525,female,5.0,GF Labrooy,,,,O Kirsten,Tanvir Ahmed,2016/17,South Africa Women in Bangladesh ODI Series,Bangladesh,South Africa,bat,Bangladesh,,Anisur Rahman,Mahfuzur Rahman,Sheikh Kamal International Cricket Stadium,South Africa,,8.0,2017
Canberra,ICC Women's Championship,2016/11/18,1043953,female,1.0,SR Bernard,,,,EA Perry,CA Polosak,2016/17,South Africa Women in Australia ODI Series,Australia,South Africa,bat,South Africa,,GJ Davidson,GC Joshua,Manuka Oval,Australia,,2.0,2016
Canberra,ICC Women's Championship,2016/11/20,1043955,female,2.0,SR Bernard,D/L,,,MM Lanning,GJ Davidson,2016/17,South Africa Women in Australia ODI Series,Australia,South Africa,bat,Australia,,GC Joshua,CA Polosak,Manuka Oval,Australia,66.0,,2016
Coffs Harbour,,2016/11/29,1043961,female,5.0,PL Marshall,,,,EA Perry,DJ Shepard,2016/17,South Africa Women in Australia ODI Series,Australia,South Africa,field,South Africa,,PJ Gillespie,JD Ward,International Sports Stadium,Australia,43.0,,2016
,,2016/09/18,1044203,female,1.0,GF Labrooy,,,,,RD Kottahachchi,2016,Australia Women in Sri Lanka ODI Series,Sri Lanka,Australia,bat,Sri Lanka,,RA Kottahachchi,RMPJ Rambukwella,Rangiri Dambulla International Stadium,Australia,,4.0,2016
Colombo,ICC Women's Championship,2016/09/25,1044209,female,4.0,M Pethiyagoda,,,,NE Bolton,PN Udawatta,2016,Australia Women in Sri Lanka ODI Series,Sri Lanka,Australia,bat,Australia,,JWHD Boteju,RR Wimalasiri,Khettarama Stadium,Australia,137.0,,2016
,,2016/09/30,1050223,male,1.0,AJ Pycroft,D/L,True,,Babar Azam,Shozab Raza,2016/17,Pakistan v West Indies ODI Series,Pakistan,West Indies,field,West Indies,S Ravi,Ahsan Raza,RSA Palliyaguruge,Sharjah Cricket Stadium,Pakistan,111.0,,2016
,,2016/10/02,1050225,male,2.0,AJ Pycroft,,True,,Babar Azam,Ahsan Raza,2016/17,Pakistan v West Indies ODI Series,Pakistan,West Indies,bat,Pakistan,RSA Palliyaguruge,S Ravi,Shozab Raza,Sharjah Cricket Stadium,Pakistan,59.0,,2016
Abu Dhabi,,2016/10/05,1050227,male,3.0,AJ Pycroft,,True,,Babar Azam,Shozab Raza,2016/17,Pakistan v West Indies ODI Series,Pakistan,West Indies,bat,Pakistan,S Ravi,Ahsan Raza,RSA Palliyaguruge,Sheikh Zayed Stadium,Pakistan,136.0,,2016
Lincoln,,2016/11/11,1050607,female,2.0,GAV Baxter,D/L,,,,,2016/17,Pakistan Women in New Zealand ODI Series,New Zealand,Pakistan,bat,New Zealand,,JAK Bromley,ED Sanders,Bert Sutcliffe Oval,New Zealand,60.0,,2016
Lincoln,ICC Women's Championship,2016/11/13,1050609,female,3.0,SR Bernard,,,,,,2016/17,Pakistan Women in New Zealand ODI Series,New Zealand,Pakistan,bat,Pakistan,,K Cross,ED Sanders,Bert Sutcliffe Oval,New Zealand,,8.0,2016
Nelson,ICC Women's Championship,2016/11/17,1050611,female,4.0,SR Bernard,,,,,,2016/17,Pakistan Women in New Zealand ODI Series,New Zealand,Pakistan,field,New Zealand,,JM Dempsey,RG Hooper,Saxton Oval,New Zealand,,7.0,2016
Auckland,,2017/02/26,1050623,female,1.0,RA Dykes,,,,AE Satterthwaite,,2016/17,Rose Bowl,New Zealand,Australia,bat,Australia,RG Hooper,K Cross,GA Stirrat,Eden Park No 2,New Zealand,,5.0,2017
Mount Maunganui,,2017/03/02,1050625,female,2.0,KD Earl,,,,AJ Blackwell,,2016/17,Rose Bowl,New Zealand,Australia,field,Australia,K Cross,RG Hooper,GA Stirrat,Bay Oval,Australia,,4.0,2017
Mount Maunganui,,2017/03/05,1050627,female,3.0,KD Earl,,,,MM Lanning,,2016/17,Rose Bowl,New Zealand,Australia,field,Australia,GA Stirrat,K Cross,RG Hooper,Bay Oval,Australia,,5.0,2017
Mirpur,,2016/09/25,1051297,male,1.0,RB Richardson,,,,Shakib Al Hasan,Tanvir Ahmed,2016/17,Afghanistan in Bangladesh ODI Series,Bangladesh,Afghanistan,bat,Bangladesh,Anisur Rahman,C Shamshuddin,Sharfuddoula,Shere Bangla National Stadium,Bangladesh,7.0,,2016
Mirpur,,2016/09/28,1051299,male,2.0,RB Richardson,,,,Mohammad Nabi,Gazi Sohel,2016/17,Afghanistan in Bangladesh ODI Series,Bangladesh,Afghanistan,field,Afghanistan,Masudur Rahman,Anisur Rahman,C Shamshuddin,Shere Bangla National Stadium,Afghanistan,,2.0,2016
Mirpur,,2016/10/01,1051301,male,3.0,RB Richardson,,,,Tamim Iqbal,Mahfuzur Rahman,2016/17,Afghanistan in Bangladesh ODI Series,Bangladesh,Afghanistan,bat,Bangladesh,Masudur Rahman,C Shamshuddin,Sharfuddoula,Shere Bangla National Stadium,Bangladesh,141.0,,2016
Colombo,ICC Women's Championship,2016/11/15,1059195,female,3.0,GF Labrooy,,,,,SPD Jayamahamudali,2016/17,England Women in Sri Lanka ODI Series,Sri Lanka,England,bat,Sri Lanka,,ID Gunawardene,RR Wimalasiri,R Premadasa Stadium,England,,5.0,2016
Colombo,ICC Women's Championship,2016/11/17,1059196,female,4.0,GF Labrooy,,,,,RA Kottahachchi,2016/17,England Women in Sri Lanka ODI Series,Sri Lanka,England,bat,England,,WN de Silva,RSA Palliyaguruge,R Premadasa Stadium,England,162.0,,2016
,,2016/11/14,1059710,male,1.0,J Srinath,,,,DM de Silva,L Rusere,2016/17,Zimbabwe Tri-Nation Series,Zimbabwe,Sri Lanka,field,Sri Lanka,M Erasmus,C Shamshuddin,RB Tiffin,Harare Sports Club,Sri Lanka,,8.0,2016
,,2016/11/16,1059711,male,2.0,J Srinath,,True,,JO Holder,L Rusere,2016/17,Zimbabwe Tri-Nation Series,Sri Lanka,West Indies,field,Sri Lanka,C Shamshuddin,M Erasmus,RB Tiffin,Harare Sports Club,West Indies,62.0,,2016
Bulawayo,,2016/11/19,1059712,male,3.0,J Srinath,,,tie,SD Hope,L Rusere,2016/17,Zimbabwe Tri-Nation Series,Zimbabwe,West Indies,bat,Zimbabwe,MA Gough,C Shamshuddin,RB Tiffin,Queens Sports Club,,,,2016
Bulawayo,,2016/11/23,1059714,male,5.0,J Srinath,,True,,BKG Mendis,L Rusere,2016/17,Zimbabwe Tri-Nation Series,Sri Lanka,West Indies,field,West Indies,MA Gough,RK Illingworth,TJ Matibiri,Queens Sports Club,Sri Lanka,1.0,,2016
Bulawayo,,2016/11/25,1059715,male,6.0,J Srinath,D/L,,,TS Chisoro,L Rusere,2016/17,Zimbabwe Tri-Nation Series,Zimbabwe,West Indies,bat,Zimbabwe,RK Illingworth,MA Gough,TJ Matibiri,Queens Sports Club,Zimbabwe,5.0,,2016
Bulawayo,,2016/11/27,1059716,male,,J Srinath,,,,BKG Mendis,L Rusere,2016/17,Zimbabwe Tri-Nation Series,Zimbabwe,Sri Lanka,bat,Zimbabwe,MA Gough,RK Illingworth,TJ Matibiri,Queens Sports Club,Sri Lanka,,6.0,2016
Los Angeles,ICC World Cricket League Division Four,2016/10/29,1062498,male,,D Govindjee,,True,,CS Sandri,L Oala,2016/17,,Denmark,Italy,field,Italy,,JM Williams,C Young,Wright Cricket Field,Denmark,114.0,,2016
Los Angeles,ICC World Cricket League Division Four,2016/10/30,1062500,male,,D Govindjee,,True,,Jatinder Singh,C Young,2016/17,,Bermuda,Oman,field,Oman,,Akbar Ali,L Oala,Severn Cricket Field,Oman,,4.0,2016
Los Angeles,ICC World Cricket League Division Four,2016/10/30,1062501,male,,D Govindjee,,True,,SA Ahmad,K Cross,2016/17,,Denmark,Jersey,field,Denmark,,GO Brathwaite,A Kapa,Wright Cricket Field,Denmark,,6.0,2016
Los Angeles,ICC World Cricket League Division Four,2016/10/30,1062502,male,,D Govindjee,,,,TP Allen,JM Williams,2016/17,,United States of America,Italy,bat,Italy,,Iftikhar Ali,CM Tuckett,Wong Cricket Field,United States of America,,1.0,2016
Los Angeles,ICC World Cricket League Division Four,2016/11/01,1062503,male,,D Govindjee,,True,,NAT Watkins,Akbar Ali,2016/17,,Italy,Jersey,field,Jersey,,K Cross,C Young,Severn Cricket Field,Jersey,,3.0,2016
Los Angeles,ICC World Cricket League Division Four,2016/11/01,1062504,male,,D Govindjee,,,,Steven Ryan Taylor,GO Brathwaite,2016/17,,United States of America,Oman,field,United States of America,,Iftikhar Ali,JM Williams,Wright Cricket Field,United States of America,,8.0,2016
Los Angeles,ICC World Cricket League Division Four,2016/11/01,1062505,male,,D Govindjee,,True,,JA DeSilva,A Kapa,2016/17,,Bermuda,Denmark,field,Denmark,,L Oala,CM Tuckett,Wong Cricket Field,Bermuda,38.0,,2016
Los Angeles,ICC World Cricket League Division Four,2016/11/02,1062506,male,,D Govindjee,,,,Zameer Khan,Akbar Ali,2016/17,,United States of America,Denmark,field,Denmark,,A Kapa,C Young,Severn Cricket Field,Denmark,,4.0,2016
Los Angeles,ICC World Cricket League Division Four,2016/11/02,1062507,male,,D Govindjee,D/L,True,,KS Leverock,GO Brathwaite,2016/17,,Bermuda,Jersey,bat,Bermuda,,K Cross,CM Tuckett,Wright Cricket Field,Bermuda,85.0,,2016
Los Angeles,ICC World Cricket League Division Four,2016/11/02,1062508,male,,D Govindjee,,True,,Zeeshan Siddiqui,Iftikhar Ali,2016/17,,Italy,Oman,bat,Italy,,L Oala,JM Williams,Wong Cricket Field,Oman,,5.0,2016
Los Angeles,ICC World Cricket League Division Four,2016/11/04,1062509,male,,D Govindjee,,True,,Khawar Ali,GO Brathwaite,2016/17,,Denmark,Oman,field,Denmark,,L Oala,C Young,Severn Cricket Field,Oman,43.0,,2016
Los Angeles,ICC World Cricket League Division Four,2016/11/04,1062510,male,,D Govindjee,,True,,Charanjeet Singh,CM Tuckett,2016/17,,Bermuda,Italy,field,Bermuda,,Iftikhar Ali,JM Williams,Wright Cricket Field,Italy,25.0,,2016
Los Angeles,ICC World Cricket League Division Four,2016/11/04,1062511,male,,D Govindjee,,,,NAT Watkins,A Kapa,2016/17,,United States of America,Jersey,bat,Jersey,,Akbar Ali,K Cross,Wong Cricket Field,Jersey,1.0,,2016
Los Angeles,ICC World Cricket League Division Four,2016/11/05,1062512,male,,D Govindjee,,True,,T Bharaj,Iftikhar Ali,2016/17,,Bermuda,Denmark,bat,Denmark,,A Kapa,JM Williams,Wright Cricket Field,Denmark,44.0,,2016
Los Angeles,ICC World Cricket League Division Four,2016/11/05,1062514,male,,D Govindjee,,,,Jasdeep Singh,GO Brathwaite,2016/17,,United States of America,Oman,bat,United States of America,,Akbar Ali,CM Tuckett,Severn Cricket Field,United States of America,13.0,,2016
Colombo,,2016/11/09,1062580,female,1.0,GF Labrooy,,,,,SPD Jayamahamudali,2016/17,England Women in Sri Lanka ODI Series,Sri Lanka,England,bat,Sri Lanka,,RD Kottahachchi,PN Udawatta,Sinhalese Sports Club Ground,England,,8.0,2016
Hong Kong,ICC World Cricket League Championship,2017/02/16,1068731,male,33.0,D Govindjee,,,,MJG Rippon,Tabarak Dar,2016/17,,Hong Kong,Netherlands,bat,Netherlands,,BB Pradhan,IA Thomson,Mission Road Ground,Netherlands,5.0,,2017
Hong Kong,ICC World Cricket League Championship,2017/02/18,1068732,male,34.0,D Govindjee,,,,MJG Rippon,IA Thomson,2016/17,,Hong Kong,Netherlands,bat,Netherlands,,BB Pradhan,Tabarak Dar,Mission Road Ground,Netherlands,13.0,,2017
Abu Dhabi,ICC World Cricket League Championship,2017/04/02,1068737,male,2.0,SR Bernard,,,,,IJ Dixon,2017,Papua New Guinea in United Arab Emirates ODI Series,United Arab Emirates,Papua New Guinea,bat,Papua New Guinea,,Akbar Ali,Shozab Raza,Sheikh Zayed Stadium,Papua New Guinea,26.0,,2017
Edinburgh,ICC World Cricket League Championship,2017/06/11,1068739,male,39.0,DT Jukes,D/L,,,,DA Haggo,2017,,Scotland,Namibia,field,Namibia,,IN Ramage,Sharfuddoula,Grange Cricket Club Ground,Scotland,51.0,,2017
Edinburgh,ICC World Cricket League Championship,2017/06/13,1068740,male,40.0,DT Jukes,,,,,DA Haggo,2017,,Scotland,Namibia,bat,Namibia,,IN Ramage,Sharfuddoula,Grange Cricket Club Ground,Namibia,50.0,,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/07,1073401,female,1.0,,,,,DP Vaidya,M Hawthorne,2016/17,,Sri Lanka,India,bat,India,,CA Polosak,LS Reifer,P Sara Oval,India,114.0,,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/07,1073402,female,2.0,,,True,,KJ Garth,RD Kottahachchi,2016/17,,Ireland,Zimbabwe,field,Zimbabwe,,AK Chaudhary,JM Williams,Mercantile Cricket Association Ground,Ireland,119.0,,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/07,1073403,female,3.0,,,True,,CL Tryon,ID Gunawardene,2016/17,,Pakistan,South Africa,bat,South Africa,,K Cross,RR Wimalasiri,Nondescripts Cricket Club Ground,South Africa,63.0,,2017
,ICC Women's World Cup Qualifier,2017/02/07,1073404,female,4.0,,,True,,,WN de Silva,2016/17,,Bangladesh,Papua New Guinea,bat,Bangladesh,,IN Ramage,S Redfern,Colombo Cricket Club Ground,Bangladesh,118.0,,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/08,1073405,female,5.0,,,,,SIP Fernando,AK Chaudhary,2016/17,,Sri Lanka,Ireland,bat,Sri Lanka,,K Cross,IN Ramage,Nondescripts Cricket Club Ground,Sri Lanka,146.0,,2017
,ICC Women's World Cup Qualifier,2017/02/08,1073406,female,6.0,,,True,,M Joshi,PN Udawatta,2016/17,,India,Thailand,bat,Thailand,,M Hawthorne,JM Williams,Colombo Cricket Club Ground,India,,9.0,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/08,1073407,female,7.0,,,True,,A Khaka,JWHD Boteju,2016/17,,Scotland,South Africa,bat,Scotland,,S Redfern,LS Reifer,Mercantile Cricket Association Ground,South Africa,,6.0,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/08,1073408,female,8.0,,,True,,Ghulam Fatima,RA Kottahachchi,2016/17,,Bangladesh,Pakistan,bat,Pakistan,,CA Polosak,RR Wimalasiri,P Sara Oval,Pakistan,67.0,,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/10,1073409,female,9.0,,,True,,Ayesha Zafar,ID Gunawardene,2016/17,,Papua New Guinea,Pakistan,bat,Pakistan,,LS Reifer,JM Williams,Nondescripts Cricket Club Ground,Pakistan,236.0,,2017
,ICC Women's World Cup Qualifier,2017/02/10,1073410,female,10.0,,,True,,Rumana Ahmed,RMPJ Rambukwella,2016/17,,Bangladesh,Scotland,bat,Scotland,,AK Chaudhary,K Cross,Colombo Cricket Club Ground,Bangladesh,,7.0,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/10,1073411,female,11.0,,,True,,MDT Kamini,RR Wimalasiri,2016/17,,India,Ireland,bat,India,,IN Ramage,S Redfern,P Sara Oval,India,125.0,,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/10,1073412,female,12.0,,,True,,P Marange,RD Kottahachchi,2016/17,,Thailand,Zimbabwe,field,Thailand,,M Hawthorne,CA Polosak,Mercantile Cricket Association Ground,Zimbabwe,36.0,,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/11,1073413,female,13.0,,,True,,S Ismail,PN Udawatta,2016/17,,Bangladesh,South Africa,bat,Bangladesh,,AK Chaudhary,JM Williams,P Sara Oval,South Africa,,6.0,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/11,1073414,female,14.0,,,True,,K Anderson,RA Kottahachchi,2016/17,,Papua New Guinea,Scotland,field,Papua New Guinea,,CA Polosak,RR Wimalasiri,Mercantile Cricket Association Ground,Scotland,7.0,,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/11,1073415,female,15.0,,,,,I Ranaweera,IN Ramage,2016/17,,Sri Lanka,Zimbabwe,bat,Zimbabwe,,M Hawthorne,S Redfern,Nondescripts Cricket Club Ground,Sri Lanka,,8.0,2017
,ICC Women's World Cup Qualifier,2017/02/11,1073416,female,16.0,,,True,,KJ Garth,JWHD Boteju,2016/17,,Ireland,Thailand,bat,Ireland,,K Cross,LS Reifer,Colombo Cricket Club Ground,Ireland,46.0,,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/13,1073417,female,17.0,,,True,,Poonam Yadav,ID Gunawardene,2016/17,,India,Zimbabwe,bat,Zimbabwe,,K Cross,IN Ramage,P Sara Oval,India,,9.0,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/13,1073418,female,18.0,,,,,PRCS Kumarihami,LS Reifer,2016/17,,Sri Lanka,Thailand,bat,Thailand,,M Hawthorne,S Redfern,Mercantile Cricket Association Ground,Sri Lanka,,7.0,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/13,1073419,female,19.0,,,True,,S Ismail,WN de Silva,2016/17,,Papua New Guinea,South Africa,bat,Papua New Guinea,,AK Chaudhary,CA Polosak,Nondescripts Cricket Club Ground,South Africa,,10.0,2017
,ICC Women's World Cup Qualifier,2017/02/13,1073420,female,20.0,,,True,,Sana Mir,RMPJ Rambukwella,2016/17,,Pakistan,Scotland,bat,Scotland,,JM Williams,RR Wimalasiri,Colombo Cricket Club Ground,Pakistan,,6.0,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/15,1073421,female,21.0,,,True,,M Raj,IN Ramage,2016/17,,India,South Africa,field,South Africa,,K Cross,RR Wimalasiri,P Sara Oval,India,49.0,,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/15,1073422,female,22.0,,,,,LE Kaushalya,M Hawthorne,2016/17,,Sri Lanka,Pakistan,field,Sri Lanka,,AK Chaudhary,S Redfern,Nondescripts Cricket Club Ground,Sri Lanka,,5.0,2017
,ICC Women's World Cup Qualifier,2017/02/15,1073423,female,23.0,,,True,,Jahanara Alam,CA Polosak,2016/17,,Bangladesh,Ireland,field,Bangladesh,,LS Reifer,JM Williams,Colombo Cricket Club Ground,Bangladesh,,7.0,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/17,1073424,female,24.0,,,,,S Luus,JM Williams,2016/17,,Sri Lanka,South Africa,bat,Sri Lanka,,CA Polosak,IN Ramage,P Sara Oval,South Africa,,9.0,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/17,1073425,female,25.0,,,True,,MR Meshram,S Redfern,2016/17,,Bangladesh,India,field,India,,M Hawthorne,RR Wimalasiri,Nondescripts Cricket Club Ground,India,,9.0,2017
,ICC Women's World Cup Qualifier,2017/02/17,1073426,female,26.0,,,True,,Javeria Khan,LS Reifer,2016/17,,Ireland,Pakistan,bat,Pakistan,,AK Chaudhary,K Cross,Colombo Cricket Club Ground,Pakistan,86.0,,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/19,1073427,female,27.0,,,True,,E Bisht,LS Reifer,2016/17,,India,Pakistan,field,India,,CA Polosak,RR Wimalasiri,P Sara Oval,India,,7.0,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/19,1073428,female,28.0,,D/L,,,AC Jayangani,AK Chaudhary,2016/17,,Sri Lanka,Bangladesh,field,Bangladesh,,M Hawthorne,JM Williams,Nondescripts Cricket Club Ground,Sri Lanka,42.0,,2017
,ICC Women's World Cup Qualifier,2017/02/19,1073429,female,29.0,,D/L,True,,,K Cross,2016/17,,Ireland,South Africa,bat,Ireland,,IN Ramage,LS Reifer,Colombo Cricket Club Ground,South Africa,36.0,,2017
Colombo,ICC Women's World Cup Qualifier,2017/02/21,1073430,female,,,,True,,DB Sharma,JM Williams,2016/17,,India,South Africa,bat,South Africa,S Redfern,K Cross,CA Polosak,P Sara Oval,India,,1.0,2017
Guyana,,2017/04/07,1077949,male,1.0,JJ Crowe,,,,JN Mohammed,GO Brathwaite,2017,Pakistan in West Indies ODI Series,West Indies,Pakistan,field,West Indies,IJ Gould,SD Fry,JS Wilson,Providence Stadium,West Indies,,4.0,2017
Guyana,,2017/04/09,1077950,male,2.0,JJ Crowe,,,,Babar Azam,JS Wilson,2017,Pakistan in West Indies ODI Series,West Indies,Pakistan,field,West Indies,SD Fry,GO Brathwaite,IJ Gould,Providence Stadium,Pakistan,74.0,,2017
Guyana,,2017/04/11,1077951,male,3.0,JJ Crowe,,,,Shoaib Malik,GO Brathwaite,2017,Pakistan in West Indies ODI Series,West Indies,Pakistan,bat,West Indies,IJ Gould,SD Fry,JS Wilson,Providence Stadium,Pakistan,,6.0,2017
Abu Dhabi,,2017/01/22,1078659,male,1.0,DT Jukes,,True,,Babar Hayat,AJT Dowdalls,2016/17,United Arab Emirates Tri-Nation Series,Hong Kong,Scotland,field,Hong Kong,,Akbar Ali,Iftikhar Ali,Sheikh Zayed Stadium,Hong Kong,,7.0,2017
,,2017/01/24,1078660,male,2.0,DT Jukes,,,,Adnan Mufti,AJT Dowdalls,2016/17,United Arab Emirates Tri-Nation Series,United Arab Emirates,Scotland,bat,Scotland,,Akbar Ali,Tabarak Dar,Dubai International Cricket Stadium,United Arab Emirates,,4.0,2017
,,2017/01/26,1078661,male,3.0,DT Jukes,,,,Imran Haider,Tabarak Dar,2016/17,United Arab Emirates Tri-Nation Series,United Arab Emirates,Hong Kong,field,United Arab Emirates,,AJT Dowdalls,Iftikhar Ali,Dubai International Cricket Stadium,United Arab Emirates,,6.0,2017
,,2017/02/16,1079246,male,1.0,DT Jukes,D/L,,,Asghar Stanikzai,O Chirombe,2016/17,Afghanistan in Zimbabwe ODI Series,Zimbabwe,Afghanistan,bat,Afghanistan,L Rusere,S George,RB Tiffin,Harare Sports Club,Afghanistan,12.0,,2017
,,2017/02/19,1079247,male,2.0,DT Jukes,,,,Rashid Khan,I Chabi,2016/17,Afghanistan in Zimbabwe ODI Series,Zimbabwe,Afghanistan,bat,Afghanistan,L Rusere,S George,RB Tiffin,Harare Sports Club,Afghanistan,54.0,,2017
,,2017/02/21,1079248,male,3.0,DT Jukes,,,,SC Williams,I Chabi,2016/17,Afghanistan in Zimbabwe ODI Series,Zimbabwe,Afghanistan,bat,Zimbabwe,TJ Matibiri,S George,L Rusere,Harare Sports Club,Zimbabwe,3.0,,2017
,,2017/02/24,1079249,male,4.0,DT Jukes,D/L,,,CB Mpofu,S Rwaziyeni,2016/17,Afghanistan in Zimbabwe ODI Series,Zimbabwe,Afghanistan,bat,Afghanistan,L Rusere,S George,TJ Matibiri,Harare Sports Club,Zimbabwe,,7.0,2017
,,2017/02/26,1079250,male,5.0,DT Jukes,D/L,,,Rahmat Shah,S Rwaziyeni,2016/17,Afghanistan in Zimbabwe ODI Series,Zimbabwe,Afghanistan,bat,Afghanistan,L Rusere,S George,TJ Matibiri,Harare Sports Club,Afghanistan,106.0,,2017
Dubai,,2017/03/02,1080630,male,1.0,GF Labrooy,,,,WTS Porterfield,Akbar Ali,2016/17,Ireland in United Arab Emirates ODI Series,United Arab Emirates,Ireland,field,United Arab Emirates,,Ahsan Raza,Iftikhar Ali,ICC Global Cricket Academy,Ireland,85.0,,2017
Dubai,,2017/03/04,1080631,male,2.0,GF Labrooy,,,,WTS Porterfield,Iftikhar Ali,2016/17,Ireland in United Arab Emirates ODI Series,United Arab Emirates,Ireland,bat,United Arab Emirates,,Ahsan Raza,Akbar Ali,ICC Global Cricket Academy,Ireland,,8.0,2017
,,2017/03/25,1083446,male,1.0,AJ Pycroft,,,,Tamim Iqbal,RR Wimalasiri,2016/17,Bangladesh in Sri Lanka ODI Series,Sri Lanka,Bangladesh,field,Sri Lanka,S Ravi,MA Gough,REJ Martinesz,Rangiri Dambulla International Stadium,Bangladesh,90.0,,2017
Colombo,,2017/04/01,1083448,male,3.0,AJ Pycroft,,,,NLTC Perera,REJ Martinesz,2016/17,Bangladesh in Sri Lanka ODI Series,Sri Lanka,Bangladesh,field,Bangladesh,S Ravi,MA Gough,RSA Palliyaguruge,Sinhalese Sports Club Ground,Sri Lanka,70.0,,2017
Bristol,ICC Women's World Cup,2017/06/24,1085945,female,1.0,DT Jukes,,True,,HR Huddleston,S Redfern,2017,,New Zealand,Sri Lanka,field,New Zealand,,AK Chaudhary,CA Polosak,County Ground,New Zealand,,9.0,2017
Derby,ICC Women's World Cup,2017/06/24,1085946,female,2.0,RB Richardson,,,,S Mandhana,P Wilson,2017,,England,India,field,England,S George,Ahsan Raza,GO Brathwaite,County Ground,India,35.0,,2017
Leicester,ICC Women's World Cup,2017/06/25,1085947,female,3.0,SR Bernard,,True,,S Ismail,JM Williams,2017,,Pakistan,South Africa,field,South Africa,,L Rusere,Sharfuddoula,Grace Road,South Africa,,3.0,2017
Taunton,ICC Women's World Cup,2017/06/26,1085948,female,4.0,DT Jukes,,True,,NE Bolton,CM Brown,2017,,Australia,West Indies,bat,West Indies,,K Cross,AT Holdstock,County Ground,Australia,,8.0,2017
Leicester,ICC Women's World Cup,2017/06/27,1085949,female,5.0,RB Richardson,D/L,,,NR Sciver,Sharfuddoula,2017,,England,Pakistan,field,Pakistan,,CM Brown,JM Williams,Grace Road,England,107.0,,2017
Taunton,ICC Women's World Cup,2017/06/29,1085951,female,7.0,SR Bernard,,True,,S Mandhana,K Cross,2017,,India,West Indies,field,India,,S George,CA Polosak,County Ground,India,,7.0,2017
Bristol,ICC Women's World Cup,2017/06/29,1085952,female,8.0,DT Jukes,,True,,AC Jayangani,AT Holdstock,2017,,Australia,Sri Lanka,field,Australia,,AK Chaudhary,S Redfern,County Ground,Australia,,8.0,2017
Taunton,ICC Women's World Cup,2017/07/02,1085953,female,9.0,SR Bernard,,,,LA Marsh,CA Polosak,2017,,England,Sri Lanka,bat,Sri Lanka,,K Cross,AT Holdstock,County Ground,England,,7.0,2017
Bristol,ICC Women's World Cup,2017/07/02,1085954,female,10.0,DT Jukes,,True,,EA Perry,AK Chaudhary,2017,,Australia,New Zealand,bat,New Zealand,,Ahsan Raza,JM Williams,County Ground,Australia,,5.0,2017
Derby,ICC Women's World Cup,2017/07/02,1085955,female,11.0,RB Richardson,,True,,E Bisht,L Rusere,2017,,India,Pakistan,bat,India,P Wilson,GO Brathwaite,S George,County Ground,India,95.0,,2017
Leicester,ICC Women's World Cup,2017/07/02,1085956,female,12.0,,,True,,M Kapp,CM Brown,2017,,South Africa,West Indies,field,South Africa,,S Redfern,Sharfuddoula,Grace Road,South Africa,,10.0,2017
Bristol,ICC Women's World Cup,2017/07/05,1085957,female,13.0,SR Bernard,,,,SJ Taylor,Ahsan Raza,2017,,England,South Africa,bat,England,,K Cross,P Wilson,County Ground,England,68.0,,2017
Derby,ICC Women's World Cup,2017/07/05,1085958,female,14.0,RB Richardson,,True,,DB Sharma,S George,2017,,India,Sri Lanka,bat,India,GO Brathwaite,CM Brown,L Rusere,County Ground,India,16.0,,2017
Leicester,ICC Women's World Cup,2017/07/05,1085959,female,15.0,DT Jukes,,True,,EJ Villani,JM Williams,2017,,Australia,Pakistan,bat,Australia,,AK Chaudhary,S Redfern,Grace Road,Australia,159.0,,2017
Taunton,ICC Women's World Cup,2017/07/06,1085960,female,16.0,SR Bernard,,True,,LM Kasperek,Sharfuddoula,2017,,New Zealand,West Indies,field,New Zealand,,Ahsan Raza,AT Holdstock,County Ground,New Zealand,,8.0,2017
Taunton,ICC Women's World Cup,2017/07/08,1085961,female,17.0,RB Richardson,,True,,HM Rowe,L Rusere,2017,,New Zealand,Pakistan,bat,Pakistan,,GO Brathwaite,Sharfuddoula,County Ground,New Zealand,,8.0,2017
